id,地级市名称,生产总值(亿元),第一产业产值(亿元),第二产业产值(亿元),第三产业产值(亿元),规模以上单位数(个),实际使用外资(亿美元)
1,宿迁市,967.11,70.78,467.61,428.72,530,3.77
2,泰州市,2150.11,70.34,1110.95,968.82,1118,15.07
3,镇江市,1965.79,28.6,916.36,1020.83,728,8.68
4,扬州市,3475.94,100.01,1630.54,1745.38,1520,12.2
5,盐城市,2202,171.38,1066.61,964.01,1167,9.13
6,淮安市,2387,199.88,1038.89,1148.58,1137,11.82
7,连云港市,1549.29,125.72,678.43,745.14,499,6.03
8,南通市,3048.89,60.91,1392.14,1595.85,1450,25.81
9,苏州市,8779.59,76.85,4151.22,4551.52,4721,45.25
10,常州市,6123.93,105.73,2820.41,3197.79,3863,24.22
11,徐州市,3527.26,124.73,1523.81,1878.71,735,18.98
12,无锡市,5919.16,37.48,2501.79,3379.89,3092,36.91
13,南京市,12820.4,273.42,4721.61,7825.37,2556,38.53
