id,地级市名称,常住人口数量(万人),公共预算收入(亿元),公共预算支出(亿元),年末就业人数(万人),居民人均可支配收入(元),居民人均住房建筑面积(平方米)
1,宿迁市,161.24,107.71,181.83,447.71,22918,46.5
2,泰州市,163.49,187,249.37,466.75,34642,57.3
3,镇江市,123.52,157.33,204.93,361.91,40883,51.7
4,扬州市,245.84,224.72,351.59,469.05,34076,49.7
5,盐城市,237.42,187.63,323.22,652.16,29488,45.8
6,淮安市,308.53,185.73,486.77,433.82,27696,49
7,连云港市,210.35,166.48,242.84,348.85,25864,50.2
8,南通市,237.06,273.6,339.89,784.63,37071,54.5
9,苏州市,556.02,1132.56,1106.52,1353.73,55476,51.3
10,常州市,396.53,494.04,507.65,539.33,45933,57.1
11,徐州市,335.07,289.01,400.07,732.28,27385,50.9
12,无锡市,366.66,638.23,684.75,759.5,50373,50.5
13,南京市,843.62,1470.02,1532.72,983.28,52916,43.4
