node,weight,geoX,geoY,name
34,2578,117.2262285,31.82588098,安徽省
11,328,116.4126168,40.18559132,北京市
32,102,119.4668764,32.9649002,江苏省
44,66,113.4309571,23.35444429,广东省
31,58,121.4630237,31.23916251,上海市
33,56,120.0688118,29.18757197,浙江省
37,40,118.1533167,36.3531187,山东省
42,29,112.2713059,30.97568695,湖北省
12,21,117.3266634,39.30226978,天津市
43,19,111.7091336,27.60994289,湖南省
51,17,102.6929506,30.62925044,四川省
62,12,100.6038747,37.88163326,甘肃省
21,11,122.6071784,41.29583915,辽宁省
61,10,108.8687362,35.19162255,陕西省
23,6,127.7631721,47.8610845,黑龙江省
50,5,107.8744621,30.05717552,重庆市
22,5,126.1874275,43.66832959,吉林省
13,4,116.1272267,39.5465903,河北省
35,3,117.9765879,26.07977781,福建省
53,2,101.4868081,24.97501305,云南省
41,2,113.6145694,33.88225077,河南省
65,1,85.18332983,41.11502052,新疆维吾尔自治区
63,1,96.03940511,35.67081573,青海省
36,1,115.7222432,27.61413722,江西省
52,1,106.8747871,26.81555492,贵州省
45,1,108.7883507,23.83125344,广西壮族自治区
