node,weight,geoX,geoY,name
32,5261,119.4668764,32.9649002,江苏省
11,310,116.4126168,40.18559132,北京市
31,123,121.4630237,31.23916251,上海市
34,116,117.2262285,31.82588098,安徽省
44,87,113.4309571,23.35444429,广东省
33,85,120.0688118,29.18757197,浙江省
42,64,112.2713059,30.97568695,湖北省
37,54,118.1533167,36.3531187,山东省
62,49,100.6038747,37.88163326,甘肃省
43,49,111.7091336,27.60994289,湖南省
61,42,108.8687362,35.19162255,陕西省
21,40,122.6071784,41.29583915,辽宁省
35,38,117.9765879,26.07977781,福建省
51,38,102.6929506,30.62925044,四川省
23,34,127.7631721,47.8610845,黑龙江省
12,30,117.3266634,39.30226978,天津市
50,26,107.8744621,30.05717552,重庆市
41,11,113.6145694,33.88225077,河南省
46,10,109.7437758,19.1956621,海南省
13,9,116.1272267,39.5465903,河北省
14,6,112.2887993,37.57124849,山西省
45,5,108.7883507,23.83125344,广西壮族自治区
22,4,126.1874275,43.66832959,吉林省
65,3,85.18332983,41.11502052,新疆维吾尔自治区
64,2,106.1639226,37.273152,宁夏回族自治区
53,1,101.4868081,24.97501305,云南省
15,1,113.9228319,44.08937093,内蒙古自治区
52,1,106.8747871,26.81555492,贵州省
