node,weight,geoX,geoY,name
156,5219,119.950876,31.176378,YRD
840,676,261.3939972,39.62200165,United States
702,227,103.8079987,1.350999951,Singapore
36,170,136.1889954,-24.97299957,Australia
826,102,-1.600000024,53,United Kingdom
344,100,114.1289978,22.42300034,Hong Kong
124,86,250.5670013,59.08100128,Canada
276,28,9.850999832,51.11000061,Germany
208,26,9.263999939,56.05799866,Denmark
392,22,139.0679932,36.49100113,Japan
756,21,7.907999992,46.86100006,Switzerland
372,21,-8.152000427,53.17699814,Ireland
578,17,8.739999771,61.15200043,Norway
158,13,120.9459991,23.75399971,Taiwan
356,12,78.5,21,India
410,11,128.1029968,36.50400162,"Korea, Republic of"
368,11,43.77199936,33.04800034,Iraq
446,10,113.5449982,22.20000076,Macau
704,10,105.314003,21.49099922,Viet Nam
554,8,172.2350006,-42.63399887,New Zealand
528,8,5.388999939,52.07699966,Netherlands
376,8,34.85100174,31.02599907,Israel
250,6,2.549999952,46.56499863,France
752,5,15.27000046,62.01100159,Sweden
434,5,18.02300072,27.04400063,Libyan Arab Jamahiriya
682,5,44.58499908,24.02300072,Saudi Arabia
642,5,24.96899986,45.84400177,Romania
458,4,102.1949997,4.201000214,Malaysia
643,4,96.68900299,61.98799896,Russia
31,4,47.39500046,40.43000031,Azerbaijan
380,4,12.80000019,42.70000076,Italy
422,3,35.88800049,33.91999817,Lebanon
275,3,35.27799988,32.03699875,Palestine
40,3,14.9119997,47.68299866,Austria
246,3,26.27199936,64.5039978,Finland
634,3,51.19100189,25.31599998,Qatar
430,2,-9.656999588,6.68200016,Liberia
442,2,6.087999821,49.77099991,Luxembourg
724,2,-3.648999929,40.22700119,Spain
170,2,-73.0759964,3.900000095,Colombia
710,2,23.12100029,-30.55800056,South Africa
70,2,17.7859993,44.16899872,Bosnia and Herzegovina
764,2,100.8440018,15.69999981,Thailand
586,1,69.38600159,29.96699905,Pakistan
862,1,-66.16600037,7.125,Venezuela
144,1,80.70400238,7.611999989,Sri Lanka
860,1,63.16999817,41.75,Uzbekistan
792,1,35.17900085,39.06100082,Turkey
