id,地级市名称,专利申请授权数(件),在校大学生数量(万人),公共图书馆藏书量(千册),高等学校数量(所),科学技术公共预算支出(亿元),各类专业技术人员数(万人)
1,宿迁市,6728,2.25,711,3,11.75,4.77
2,泰州市,18441,6.34,1964,7,15.12,5.83
3,镇江市,12110,8.38,2218,8,16.5,4.15
4,扬州市,22466,7.9,3287,9,16.05,5.49
5,盐城市,19656,6.26,3031,6,28.45,9.07
6,淮安市,13561,7.18,1501,7,9.35,5.74
7,连云港市,5881,4.21,1754,5,9.92,6.6
8,南通市,25701,10.68,2130,9,37.78,8.89
9,苏州市,83746,17.45,14520,26,152.28,13.32
10,常州市,39801,12.47,4866,10,25.39,6.06
11,徐州市,16821,13.07,1733,12,25.45,10.66
12,无锡市,45429,10.34,4973,12,49.68,8.49
13,南京市,99020,85.68,19644,53,80.54,10.23
