node,weight,geoX,geoY,name
310104,2521,121.4350233,31.16486424,徐汇区
310110,1677,121.5248027,31.30048341,杨浦区
310107,509,121.3874549,31.25968976,普陀区
310115,439,121.7167868,31.11496137,浦东新区
310101,436,121.4790451,31.21793241,黄浦区
310113,331,121.4039234,31.40512986,宝山区
310117,301,121.2157539,31.01713022,松江区
310105,223,121.3762642,31.20926136,长宁区
330106,64,120.0787847,30.20304446,西湖区
330108,60,120.1799838,30.18239178,滨江区
340104,56,117.0552769,31.86932759,蜀山区
320106,40,118.7558896,32.08484332,鼓楼区
310112,31,121.4145589,31.08895307,闵行区
330104,24,120.2912588,30.312614,江干区
320102,23,118.8375933,32.0677997,玄武区
320508,22,120.5936609,31.32132168,姑苏区
310120,18,121.5497924,30.9106368,奉贤区
321102,15,119.6320087,32.18683193,京口区
320104,14,118.8118611,32.01474664,秦淮区
331002,12,121.4424998,28.66318102,椒江区
310108,9,121.4467942,31.28356397,闸北区
310109,9,121.4809517,31.27867903,虹口区
340111,7,117.3259583,31.74348776,包河区
310106,6,121.443473,31.23096432,静安区
310114,6,121.2396988,31.36000475,嘉定区
330502,6,120.0800216,30.80517774,吴兴区
320211,4,120.2407463,31.46436175,滨湖区
320583,4,120.9547085,31.32387649,昆山市
320506,4,120.3559115,31.16831484,吴中区
321002,4,119.5497925,32.34704522,广陵区
320113,2,118.9514292,32.16366577,栖霞区
320115,2,118.8270936,31.85849469,江宁区
321003,1,119.3897715,32.45799501,邗江区
320111,1,118.5574203,32.05550762,浦口区
330702,1,119.5058328,28.98004742,婺城区
330110,1,119.9870261,30.38400068,余杭区
330102,1,120.1692522,30.22917726,上城区
330212,1,121.526943,29.78233851,鄞州区
