node,weight,geoX,geoY,name
156,7929,119.950876,31.176378,YRD
840,909,261.3939972,39.62200165,United States
344,180,114.1289978,22.42300034,Hong Kong
826,161,-1.600000024,53,United Kingdom
702,144,103.8079987,1.350999951,Singapore
36,116,136.1889954,-24.97299957,Australia
392,60,139.0679932,36.49100113,Japan
124,48,250.5670013,59.08100128,Canada
276,36,9.850999832,51.11000061,Germany
158,28,120.9459991,23.75399971,Taiwan
250,20,2.549999952,46.56499863,France
410,16,128.1029968,36.50400162,"Korea, Republic of"
40,16,14.9119997,47.68299866,Austria
380,16,12.80000019,42.70000076,Italy
434,14,18.02300072,27.04400063,Libyan Arab Jamahiriya
528,14,5.388999939,52.07699966,Netherlands
368,14,43.77199936,33.04800034,Iraq
446,14,113.5449982,22.20000076,Macau
246,14,26.27199936,64.5039978,Finland
682,11,44.58499908,24.02300072,Saudi Arabia
372,10,-8.152000427,53.17699814,Ireland
554,9,172.2350006,-42.63399887,New Zealand
756,8,7.907999992,46.86100006,Switzerland
752,7,15.27000046,62.01100159,Sweden
887,7,48.35499954,15.80700016,Yemen
234,7,-6.863999844,62.04999924,Faroe Islands
376,6,34.85100174,31.02599907,Israel
356,6,78.5,21,India
300,6,21.76600075,39.66600037,Greece
112,6,28.04700089,53.54000092,Belarus
364,5,54.30099869,32.56499863,Iran (Islamic Republic of)
586,5,69.38600159,29.96699905,Pakistan
56,5,4.664000034,50.64300156,Belgium
620,5,-8.057999611,40.30899811,Portugal
208,4,9.263999939,56.05799866,Denmark
76,4,-53.0890007,-10.77200031,Brazil
430,3,-9.656999588,6.68200016,Liberia
804,3,31.38800049,49.01599884,Ukraine
724,3,-3.648999929,40.22700119,Spain
608,3,122.4660034,11.11800003,Philippines
784,3,54.1629982,23.54899979,United Arab Emirates
643,3,96.68900299,61.98799896,Russia
360,2,114.2519989,-0.976000011,Indonesia
233,2,25.79299927,58.67399979,Estonia
422,2,35.88800049,33.91999817,Lebanon
418,2,102.4710007,19.90500069,Lao People's Democratic Republic
764,2,100.8440018,15.69999981,Thailand
196,2,33.21900177,35.04299927,Cyprus
634,1,51.19100189,25.31599998,Qatar
604,1,-75.55200195,-9.326000214,Peru
442,1,6.087999821,49.77099991,Luxembourg
458,1,102.1949997,4.201000214,Malaysia
792,1,35.17900085,39.06100082,Turkey
578,1,8.739999771,61.15200043,Norway
484,1,257.4649963,23.95100021,Mexico
16,1,189.2700043,-14.31799984,American Samoa
642,1,24.96899986,45.84400177,Romania
231,1,39.61600113,8.626000404,Ethiopia
275,1,35.27799988,32.03699875,Palestine
