node,weight,geoX,geoY,name
3101,6516,121.4189119,31.09363644,上海市
3201,3991,118.8427925,31.92779431,南京市
3301,3695,119.4709392,29.89982739,杭州市
3401,2479,117.3425999,31.79277264,合肥市
3205,516,120.6515337,31.38230147,苏州市
3211,213,119.4536766,32.01613142,镇江市
3203,172,117.5187515,34.3545087,徐州市
3302,147,121.4435312,29.75149325,宁波市
3202,126,120.3277821,31.69001232,无锡市
3304,123,120.8028751,30.61636314,嘉兴市
3206,114,121.0097772,32.17976747,南通市
3210,63,119.4745364,32.73698335,扬州市
3307,38,119.9522197,29.11707634,金华市
3402,31,118.1290663,31.15066035,芜湖市
3305,29,119.8686238,30.74479317,湖州市
3207,29,119.1315322,34.53068189,连云港市
3303,28,120.4275978,27.90511783,温州市
3412,21,115.7044735,32.91726461,阜阳市
3212,17,120.0568359,32.57141134,泰州市
3310,14,121.0972151,28.77741881,台州市
3404,14,116.7347445,32.7569422,淮南市
3204,12,119.6365045,31.62479936,常州市
3309,12,122.1384423,30.05628205,舟山市
3403,9,117.3251485,33.10868133,蚌埠市
3411,8,118.1024319,32.54451834,滁州市
3208,8,118.965177,33.35180247,淮安市
3407,6,117.8936302,30.94721659,铜陵市
3415,5,116.3150901,31.75634542,六安市
3417,4,117.364167,30.28473903,池州市
3418,1,118.8517185,30.68565582,宣城市
3306,1,120.6366001,29.73447939,绍兴市
