node,weight,geoX,geoY,name
156,21714,119.950876,31.176378,YRD
840,2418,261.3939972,39.62200165,United States
702,542,103.8079987,1.350999951,Singapore
826,440,-1.600000024,53,United Kingdom
36,427,136.1889954,-24.97299957,Australia
344,398,114.1289978,22.42300034,Hong Kong
124,207,250.5670013,59.08100128,Canada
392,122,139.0679932,36.49100113,Japan
276,86,9.850999832,51.11000061,Germany
158,74,120.9459991,23.75399971,Taiwan
528,57,5.388999939,52.07699966,Netherlands
208,47,9.263999939,56.05799866,Denmark
410,45,128.1029968,36.50400162,"Korea, Republic of"
446,43,113.5449982,22.20000076,Macau
250,43,2.549999952,46.56499863,France
554,38,172.2350006,-42.63399887,New Zealand
756,36,7.907999992,46.86100006,Switzerland
40,33,14.9119997,47.68299866,Austria
372,31,-8.152000427,53.17699814,Ireland
380,30,12.80000019,42.70000076,Italy
368,29,43.77199936,33.04800034,Iraq
246,26,26.27199936,64.5039978,Finland
376,25,34.85100174,31.02599907,Israel
356,25,78.5,21,India
434,24,18.02300072,27.04400063,Libyan Arab Jamahiriya
682,24,44.58499908,24.02300072,Saudi Arabia
458,20,102.1949997,4.201000214,Malaysia
578,20,8.739999771,61.15200043,Norway
752,18,15.27000046,62.01100159,Sweden
586,16,69.38600159,29.96699905,Pakistan
422,16,35.88800049,33.91999817,Lebanon
704,13,105.314003,21.49099922,Viet Nam
608,10,122.4660034,11.11800003,Philippines
887,10,48.35499954,15.80700016,Yemen
784,10,54.1629982,23.54899979,United Arab Emirates
634,9,51.19100189,25.31599998,Qatar
56,8,4.664000034,50.64300156,Belgium
300,8,21.76600075,39.66600037,Greece
364,7,54.30099869,32.56499863,Iran (Islamic Republic of)
643,7,96.68900299,61.98799896,Russia
234,7,-6.863999844,62.04999924,Faroe Islands
31,7,47.39500046,40.43000031,Azerbaijan
724,7,-3.648999929,40.22700119,Spain
764,6,100.8440018,15.69999981,Thailand
112,6,28.04700089,53.54000092,Belarus
398,6,67.3010025,48.15999985,Kazakhstan
620,6,-8.057999611,40.30899811,Portugal
642,6,24.96899986,45.84400177,Romania
275,6,35.27799988,32.03699875,Palestine
430,5,-9.656999588,6.68200016,Liberia
170,5,-73.0759964,3.900000095,Colombia
804,4,31.38800049,49.01599884,Ukraine
76,4,-53.0890007,-10.77200031,Brazil
484,3,257.4649963,23.95100021,Mexico
100,3,25.2310009,42.76100159,Bulgaria
442,3,6.087999821,49.77099991,Luxembourg
418,2,102.4710007,19.90500069,Lao People's Democratic Republic
792,2,35.17900085,39.06100082,Turkey
196,2,33.21900177,35.04299927,Cyprus
360,2,114.2519989,-0.976000011,Indonesia
320,2,269.6019974,15.25599957,Guatemala
233,2,25.79299927,58.67399979,Estonia
710,2,23.12100029,-30.55800056,South Africa
70,2,17.7859993,44.16899872,Bosnia and Herzegovina
524,1,83.93900299,28.25300026,Nepal
16,1,189.2700043,-14.31799984,American Samoa
860,1,63.16999817,41.75,Uzbekistan
348,1,19.13400078,47.06999969,Hungary
231,1,39.61600113,8.626000404,Ethiopia
604,1,-75.55200195,-9.326000214,Peru
404,1,37.85800171,0.529999971,Kenya
705,1,14.82699966,46.12400055,Slovenia
862,1,-66.16600037,7.125,Venezuela
703,1,19.49099922,48.70700073,Slovakia
144,1,80.70400238,7.611999989,Sri Lanka
12,1,2.631999969,28.16300011,Algeria
408,1,126.4509964,39.77799988,"Korea, Democratic People's Republic of"
