node,weight,geoX,geoY,name
330106,2242,120.0787847,30.20304446,西湖区
330108,860,120.1799838,30.18239178,滨江区
330104,562,120.2912588,30.312614,江干区
330481,103,120.618003,30.42812155,海宁市
330212,83,121.526943,29.78233851,鄞州区
310104,64,121.4350233,31.16486424,徐汇区
340104,46,117.0552769,31.86932759,蜀山区
330204,34,121.5875584,29.8715889,江东区
330702,33,119.5058328,28.98004742,婺城区
320106,29,118.7558896,32.08484332,鼓楼区
330502,28,120.0800216,30.80517774,吴兴区
330304,25,120.5479938,27.96965391,瓯海区
330402,18,120.8362927,30.71358026,南湖区
330205,17,121.4842635,29.96304951,江北区
310117,17,121.2157539,31.01713022,松江区
330102,16,120.1692522,30.22917726,上城区
310110,16,121.5248027,31.30048341,杨浦区
331002,14,121.4424998,28.66318102,椒江区
310115,13,121.7167868,31.11496137,浦东新区
330110,12,119.9870261,30.38400068,余杭区
310101,12,121.4790451,31.21793241,黄浦区
330902,12,122.1086876,30.07258727,定海区
321102,11,119.6320087,32.18683193,京口区
320102,10,118.8375933,32.0677997,玄武区
320508,10,120.5936609,31.32132168,姑苏区
330206,9,121.8639773,29.86615288,北仑区
310113,9,121.4039234,31.40512986,宝山区
340111,8,117.3259583,31.74348776,包河区
310107,7,121.3874549,31.25968976,普陀区
330784,5,120.0967803,28.93708617,永康市
320104,5,118.8118611,32.01474664,秦淮区
330211,4,121.6034125,29.99399078,镇海区
330185,3,119.3391874,30.20378208,临安市
330302,3,120.5557862,28.0657131,鹿城区
330421,2,120.8981103,30.90188701,嘉善县
320211,1,120.2407463,31.46436175,滨湖区
330602,1,120.638357,30.00527248,越城区
310106,1,121.443473,31.23096432,静安区
320803,1,119.2874715,33.5013849,淮安区
340103,1,117.1978305,31.91692743,庐阳区
320612,1,121.0273162,32.11278849,通州区
310114,1,121.2396988,31.36000475,嘉定区
320583,1,120.9547085,31.32387649,昆山市
320505,1,120.4133578,31.34430293,虎丘区
330521,1,120.039156,30.56384223,德清县
321281,1,119.9846066,32.95736198,兴化市
320111,1,118.5574203,32.05550762,浦口区
